Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304657.792928,-0.091986,-0.072288,0.015968,-43.000000,0
304657.890279,0.022029,-0.042546,-0.117631,-48.000000,0
304657.987600,0.077011,-0.091580,-0.407677,-45.000000,0
304658.084950,-0.277047,-0.099079,-0.882324,-47.000000,0
304658.182301,-0.286142,0.217319,0.130177,-47.000000,0
304658.279638,-0.028210,0.320009,0.585083,-47.000000,0
304658.377004,-0.026708,0.300954,-0.010788,-47.000000,0
304658.474325,0.001329,-0.058299,0.049325,-47.000000,0
304658.571676,0.024422,-0.040608,0.108035,-47.000000,0
304658.669028,-0.114892,-0.032287,-0.043491,-53.000000,0
304658.766378,-0.088196,-0.023832,-0.066415,-54.000000,0
304658.863729,0.009554,-0.037120,-0.099809,-55.000000,0
304658.961048,0.012390,0.014802,-0.062160,-59.000000,0
304659.058400,0.005577,0.039819,-0.067567,-55.000000,0
304659.155752,-0.056208,-0.026208,-0.098130,-55.000000,0
304659.253102,-0.086855,-0.047782,-0.087395,-55.000000,0
304659.350422,0.167235,0.072006,-0.036414,-55.000000,0
304659.447773,-0.074601,-0.032345,0.048100,-55.000000,0
304659.545121,-0.049901,-0.083217,0.139518,-55.000000,0
304659.642476,-0.024368,-0.099566,0.068277,-55.000000,0
304659.739827,-0.037989,0.020263,0.082384,-71.000000,0
304659.837149,-0.017185,0.044705,0.131862,-59.000000,0
304659.934499,0.018735,-0.033396,0.081722,-59.000000,0
304660.031850,-0.031963,-0.039047,0.104165,-2147483648.000000,0
304660.129104,0.009176,-0.108220,0.061264,-2147483648.000000,0
304660.226444,0.026849,-0.008965,0.046659,-2147483648.000000,0
304660.323776,0.065702,0.023114,0.074846,-2147483648.000000,0
304660.421127,0.074090,-0.016325,-0.072910,-2147483648.000000,0
304660.518478,-0.012332,0.052117,-0.131326,-73.000000,0
304660.615829,-0.013192,-0.009970,-0.106680,-73.000000,0
304660.713150,-0.057381,0.017807,-0.122191,-56.000000,0
304660.810501,-0.031895,0.030838,-0.142615,-51.000000,0
304660.907854,-0.043067,0.025136,-0.127277,-53.000000,0
304661.005203,0.032581,0.006575,-0.112736,-53.000000,0
304661.102523,-0.025489,0.002839,-0.101061,-53.000000,0
304661.199874,-0.006398,-0.046783,-0.116955,-53.000000,0
304661.297225,-0.030004,-0.026746,-0.095000,-53.000000,0
304661.394578,-0.010645,0.001111,-0.086848,-53.000000,0
304661.491901,-0.002675,-0.003044,-0.027974,-64.000000,0
304661.589248,0.008078,-0.030948,-0.058786,-64.000000,0
304661.686599,0.029320,0.050152,-0.054292,-62.000000,0
304661.783951,0.020200,-0.006427,-0.002139,-60.000000,0
304661.881272,0.026376,0.007363,0.004794,-57.000000,0
304661.978622,0.011735,0.000210,0.022525,-57.000000,0
304662.075973,0.001694,-0.026875,0.014428,-57.000000,0
304662.173307,-0.012663,-0.042463,0.035696,-57.000000,0
304662.270675,0.011567,-0.035076,0.024720,-57.000000,0
304662.367996,0.015406,0.010091,0.027519,-57.000000,0
304662.465347,0.000938,-0.029379,0.022411,-65.000000,0
304662.562697,0.020520,-0.011722,0.004137,-65.000000,0
304662.660048,0.046241,0.011835,-0.019368,-65.000000,0
304662.757370,0.044878,0.029544,-0.051056,-74.000000,0
304662.854717,0.061628,0.044098,-0.027965,-79.000000,0
304662.952072,0.021653,0.033784,-0.038003,-77.000000,0
304663.049423,0.064076,0.029391,-0.036024,-77.000000,0
304663.146743,0.046601,0.008992,-0.052896,-77.000000,0
304663.244095,0.034167,0.009696,-0.062294,-77.000000,0
304663.341446,0.024804,-0.018193,-0.061060,-77.000000,0
304663.438770,0.005409,-0.016587,-0.033412,-77.000000,0
304663.536117,0.002092,-0.002493,-0.053022,-68.000000,0
304663.633468,-0.036334,0.013159,-0.029799,-68.000000,0
304663.730819,-0.008807,-0.019911,-0.014225,-74.000000,0
304663.828170,0.014506,-0.020545,-0.019169,-63.000000,0
304663.925511,0.012591,-0.036138,-0.004823,-64.000000,0
304664.022843,0.020372,-0.002618,-0.000664,-64.000000,0
304664.120178,0.045290,-0.042803,-0.003902,-64.000000,0
304664.217544,-0.000070,-0.030002,0.004915,-64.000000,0
304664.314865,0.014916,0.005674,-0.017693,-64.000000,0
304664.412216,0.010582,0.025132,0.041220,-64.000000,0
304664.509567,-0.013561,-0.081554,-0.025290,-75.000000,0
304664.606918,-0.001155,-0.012983,0.017692,-75.000000,0
304664.704239,0.000770,-0.027949,0.019009,-59.000000,0
304664.801606,-0.011838,-0.025105,-0.016782,-57.000000,0
304664.898941,-0.022770,-0.012859,-0.025090,-62.000000,0
304664.996291,0.036780,-0.039997,0.044496,-62.000000,0
304665.093521,-0.027544,-0.043059,0.005503,-62.000000,0
304665.190872,-0.007953,0.018255,-0.004157,-62.000000,0
304665.288223,0.010166,0.020018,-0.014244,-62.000000,0
304665.385547,0.039546,0.015740,0.032431,-62.000000,0
